10004498	5286	1
1007748	106403	3
1007748	34388	7
1007748	5551	29
1007748	69891	5
1007748	81478	3
1008348	105351	1
1008348	1341132	7
1008348	40380	1
1008348	5061	87
1008348	5063	1
1009188	13563	1
1024718	38945	1
1038248	984962	1
1038278	101852	2
1038288	325632	1
1038288	61273	1
1039018	314127	1
1039198	195773	1
1039208	29908	2
1048338	66738	19
10604468	264952	2
10626858	40380	1
1067068	5007	2
1067358	27334	14
1080048	456999	1
10821348	302913	2
1086118	1173701	4
1090888	76777	12
1091538	708070	2
1091598	13706	2
1091618	679948	1
1091638	90269	1
1091658	4853	1
1091658	90251	3
1091678	4846	2
1091698	90258	1
1091758	64495	7
1091818	42458	5
1091878	90255	2
1091938	64623	1
1091978	90249	1
1092018	423460	1
1092078	91625	2
1092098	713888	2
1092158	931867	1
10938808	280036	1
1095538	5322	1
1095558	264124	1
1095778	202697	1
10977938	55307	1
11013748	111670	1
11016658	2015914	1
11016658	5321	1
11016658	5322	4
11016658	98346	1
11016668	5322	1
11016888	5619	2
1104188	109633	1
1104268	566037	1
11103038	86259	3
11222558	1226780	1
11327748	5288	2
1137158	1033840	1
1137178	40611	1
1140758	33173	1
11414668	2019550	8
11414668	3111108	3
11414668	3111109	3
11414668	3111110	1
11414668	3111918	1
11414668	3111919	3
11414668	386457	2
11414668	436288	2
11414668	496997	2
11414668	496998	1
11414668	5158	8
11414668	633669	1
11414668	88771	4
11414668	929235	8
1144878	34349	2
1147598	5281	1
1150858	1580861	1
1150858	1580871	1
1150858	2491030	1
11537858	179775	1
11537858	187221	2
11537868	112178	1
11540608	196064	7
11543898	1337666	2
11571778	1325723	1
11573538	5501	5
11589568	1806994	1
11589588	286115	2
11589608	109895	1
11589628	246404	1
11589628	4814	1
11592078	767359	1
11602718	2591691	2
11602808	5341	1
1162668	46634	2
1162678	559561	1
1162688	5580	2
1173888	47741	1
1173928	170559	1
1173948	47801	1
11742438	55514	1
1175598	74722	4
1176888	563466	4
1176938	29847	2
1178478	1609947	1
1182778	388913	1
1182778	80391	1
11846888	2078593	1
1186428	688394	1
1187108	3151832	1
1187108	5530	1
1189208	64523	1
1189208	78898	4
1191538	483020	1
1195388	27337	38
1195708	84753	6
11976158	2282107	1
1198688	79858	1
1198948	342668	1
12020378	4959	2
12020378	522358	1
12078838	121624	1
12121138	97359	1
12226158	405846	1
12226258	658931	1
12301708	2512241	1
12514678	2546457	5
12514678	744408	1
12683498	40998	1
12779058	359797	1
12878258	50376	2
12977628	1316788	1
12977648	602034	1
12977768	215460	1
12977818	1316785	1
12981468	1316786	1
12981508	215461	1
12982508	602035	1
13008418	197054	3
13087448	76130	1
13087548	27345	1
13180868	498019	1
13182828	5286	2
13280028	1220206	1
13280028	2059437	1
13280028	2059439	1
13280028	5059	305
13280028	5062	130
13280028	5067	1
13314558	1506549	3
13314578	56417	4
13314598	5417	3
13314658	2576851	2
13345728	5194	1
13345758	45133	1
13345758	869390	1
13346898	73501	1
13447668	53485	19
13450338	34373	4
13450818	84751	2
13450838	86804	1
13457358	5467	4
1356308	5643	1
13605538	1686168	1
13605568	5341	2
13605708	119933	3
1365288	40199	1
1365318	5044	4
1365348	40199	11
1365818	40296	2
1368848	1048829	3
13704368	1238391	2
13811738	28985	2
13827458	2060699	1
1386418	212818	2
1387058	569365	2
1387158	55588	1
13872348	690259	1
13872388	5297	2
1388088	121759	1
1388188	1859096	13
1388188	37769	1
1390308	292559	1
1390348	196907	1
1390368	101121	1
1390388	5643	1
14007178	136370	1
14010828	45130	17
14010958	45130	1
14011178	45130	1
14064648	38448	5
14067968	326645	1
14078398	1250544	1
14078538	44093	2
14101638	2687229	3
1411588	52586	5
14129748	2606893	1
1420208	54899	4
14240238	69976	1
14240258	203079	1
1424128	92629	1
1427528	100367	1
14359918	1792511	1
14359918	2972122	1
14359918	60172	2
14359948	60134	1
14410188	41984	8
14410318	2613904	2
14410348	158606	1
14410458	644589	2
14524118	1582974	3
1460348	315946	3
1460408	40382	1
1460588	180788	2
1461258	1200839	1
1461288	1424426	1
1461308	54687	1
1463348	578113	1
1464318	169041	1
1464358	500148	3
1465338	29902	1
1465338	696254	1
1465338	72568	1
14665118	62758	1
14710708	41062	1
1475048	2496157	4
14754048	36016	1
14754078	209559	4
1475408	1537989	1
14754758	986946	1
14772728	61186	3
1479188	185366	2
1479938	545650	1
1480738	51656	2
1485558	1531966	1
14869418	36907	2
1488678	1230402	2
14903648	117179	2
14903768	43049	1
150	214993	2
15016268	132259	2
15016298	36643	1
15020838	1034303	1
15020978	656916	2
15021468	138285	1
15034128	1226010	1
1503758	89243	1
1503788	178872	2
1503808	71150	1
1503828	2831993	1
1503848	157265	1
1503868	68786	1
1503888	5384	1
1503908	2773346	1
1503998	463315	1
1507948	41956	1
1507968	109899	1
1507988	76867	1
1508008	68788	1
1508028	80663	1
1508048	78148	1
1509698	37468	2
1509718	156515	1
15135328	373115	1
15138378	5272	1
1516508	82310	1
1527458	1580864	1
1530248	5012	1
1530288	71561	1
1530308	34352	1
15393898	5599	1
15409498	2268382	1
15413218	4932	1
15413248	4932	1
15572938	1640340	1
15572938	1640341	1
15582758	81058	1
15584868	112123	1
15584908	1749284	1
15584948	111643	1
15585408	1447940	1
15594178	4932	1
15594998	493452	2
15602348	1174677	3
15606818	27326	1
15607688	5334	1
15607698	5334	1
15607708	5334	1
15607728	5334	1
15634658	174643	1
15634658	2654411	1
15638978	1341132	1
15639098	105696	2
15639218	1755894	1
15684048	474922	3
15685018	94610	33
15685408	29879	3
15686778	29879	26
15688368	83678	1
15688398	88718	1
15688538	1663498	1
15688728	2602009	5
15689028	5141	4
15689088	29881	14
15689398	1580836	1
15689438	1580834	1
15689758	1659845	1
15693258	4874	1
15698568	1890683	56
15707718	1458898	1
15707718	2932460	4
15707718	41068	1
15707748	1220191	1
15729718	240499	1
15730518	643000	2
15730578	2799457	1
15730578	310453	4
15730578	45134	3
15730578	643002	1
15730878	336252	1
15730918	643001	2
15735848	82524	10
15740998	1047171	1
15781318	100816	8
1580898	42805	3
15849498	1209068	1
15849498	34406	1
15955278	27326	1
15955638	1565506	1
15955638	33178	3
15958738	64639	1
16051288	147560	1
16051308	1496277	1
16103388	169388	8
16103388	1715230	2
16103388	984957	1
16309478	218633	7
16309478	2745533	1
16310518	1341166	1
16310608	112489	1
16343348	76773	4
1639378	80661	2
1644238	1016849	1
1644248	40355	1
1644268	253628	1
1644298	89940	7
1644318	212818	1
1644338	1851006	1
1644348	215243	1
1644348	348802	1
1644378	979981	2
1645098	40457	1
1645118	394432	1
1649878	307937	1
16509498	5207	12
16509558	50730	1
16509568	100019	2
16509578	706981	1
1650998	71945	1
16511378	2282107	1
16511418	418781	3
1653618	136370	4
1653858	1245769	2
1654018	35722	1
165568	226899	2
1659068	69766	2
16597868	131308	1
16597878	1504668	1
16597888	690887	1
16597998	548649	1
16598758	147558	1
16598768	210430	1
16598888	455074	1
16599038	1450171	1
16599048	1176130	1
16599068	147497	1
16599488	462254	2
16599498	147570	1
16599508	395010	1
16599898	135779	2
16599928	160035	1
16599938	1504671	1
16600158	1048519	1
16600158	364715	1
16600168	390896	1
16600218	318751	1
16600248	147567	1
16601538	45142	1
16601648	184978	1
16601888	91752	1
166148	29883	1
1666838	42368	1
16723438	76776	2
16733968	98760	1
16740308	703511	1
16744798	1048955	1
16746838	301204	1
16746848	673940	1
16746858	578093	1
16747328	390894	1
16747338	245834	1
16760658	5061	1
16760658	5068	1
16769698	1955577	1
1678718	91626	1
1678778	75736	5
16870778	293939	13
16870968	91492	6
1690288	5530	5
16905888	5003	3
17032148	91928	2
17032168	91928	3
17032188	91928	1
17032458	91928	2
17032528	91928	2
17062858	301207	1
17062968	45293	1
17067528	703497	1
17067578	372055	1
17067858	690899	1
17069598	1973307	2
1714638	1047168	2
1718768	332947	1
1720278	68825	2
1720818	72032	3
17238448	718229	1
17238478	470096	1
17238498	682080	1
17238778	705562	1
17238788	161662	1
17238808	100044	1
17245778	574789	1
17245788	100047	1
17245798	1469910	1
17246428	1077377	2
17246428	749552	1
17246438	703506	1
17246448	147573	1
172628	2059318	1
172628	5037	1
17262838	41061	2
1727658	101028	5
17286348	100035	1
17286408	98777	1
17287008	5507	1
17287068	5507	1
17287128	1715230	1
17287288	169388	4
17287288	195108	9
17287288	2778372	8
17287408	1715230	1
17287488	5507	1
17287588	2778371	1
17287708	5507	1
17287768	5507	1
17288028	5507	1
17288148	5507	1
17288228	5507	1
17288308	2778372	1
17288368	5507	1
17288448	5507	1
17288608	5507	1
17288648	5507	1
17289048	5507	1
17289138	2778373	3
17289138	48865	5
17289138	5507	2
17289508	5507	1
17289538	5507	1
17289548	2778375	1
17289618	5507	6
17289788	2778372	1
17289828	42676	4
17289828	5507	2
17290088	5507	1
17290248	1715230	1
17290268	1715230	1
17290368	5507	1
17291418	363582	1
172958	109871	7
173018	5297	1
173148	36033	2
1731838	1926264	3
1731838	29856	1
173258	5037	4
173388	199306	1
17339148	5207	1
17339168	5207	1
17339208	5207	1
17339548	323545	1
17340308	1485682	2
17341278	90978	1
17341338	2301244	1
17341358	1769908	1
17341358	73001	1
17360328	2813651	6
17360508	2813651	6
17360598	2813651	2
17360708	2813651	5
173748	199306	1
17375238	2813651	1
17381538	13368	4
17381588	13370	4
17381618	37662	7
17381618	5007	1
17381768	162425	18
17383938	51541	7
174018	1051613	1
1740698	5606	2
174278	5037	3
1743318	1173716	1
1743468	1173715	6
1745648	28573	1
1746438	138278	2
1746438	308745	1
174658	28583	1
174698	199306	8
174718	169388	1
174718	2747968	2
174848	34387	6
174848	63418	1
174888	63417	1
174988	1681229	3
174988	5039	5
17648068	85995	1
17648168	88742	1
17649328	2033813	2
17651648	1491104	1
17652128	946125	1
17652178	2747443	1
1770678	29830	1
1771268	278948	2
1773148	158046	2
1773188	1214573	1
1774898	1489893	1
1775088	51582	2
1775098	79588	3
1775108	79588	1
1775868	73230	1
1775948	79593	1
1776188	40296	1
17763638	45357	6
